idx,date,phase,phase_name,title,strategic_impact,counterparties,consideration,project,confidence,is_kula,tenement_ids_count,new_ids_count,cum_tenements,cum_area_km2
0,2024-09-03,1,Leadership Reset,Withdrawal from Koolyanobbing Iron Ore Option (Netley Minerals),Abandoned iron ore diversification after RC drilling returned uneconomic results. First signal that strategy needed a reset. Company pivots implicit resources focus back to gold.,,,,high,False,0,0,0,0
1,2025-02-18,1,Leadership Reset,Daniel Raihani appointed NED; David Izzard resigns,"First board refresh step. Removes Izzard (whose Rockford Partners / Fordrock cost the company ~$101K in admin services in FY2025). Raihani is a substantial shareholder (30M shares), aligning board incentives.",,,,high,False,0,0,0,0
2,2025-05-16,1,Leadership Reset,David Geraghty appointed Non-Executive Director,"Pivotal appointment. Ex-MinRes 21-year metallurgical engineer; architect of mine development and processing strategies. Signals to the market that FRS is reorienting toward production. On the same day a $500K placement at $0.05 completed (16× prior Feb price), confirming investor re-rating.",,,,high,False,0,0,0,0
3,2025-07-24,1,Leadership Reset,Geraghty appointed Non-Executive Chairman; Hannaford resigns; Turnbull joins,"Full board reset complete. Hannaford (whose consulting firm billed $128K in FY2025) departs. Adam Turnbull (substantial holder, 30M shares) added. New board is aligned, experienced and capital-light.",,,,high,False,0,0,0,0
4,2025-08-01,2,Acquisition Blitz,British Hill Gold Project acquisition (IMD Gold Pty Ltd),"With the right leadership in place, FRS begins an aggressive acquisition sprint — buying gold projects at a fraction of in-ground resource value while the market re-rates the stock. First production-ready asset: approved Mining Lease M77/1256; JORC 54,625 oz @ 1.66 g/t Au (Indicated + Inferred); >90% CIL recovery in metallurgical tests; open pit viable. Consideration equivalent to ~$6M in shares. Total resources now ~108K oz.",,$6m,British Hill,high,False,2,2,2,27.6
5,2025-08-11,2,Acquisition Blitz,Hyden Project Holdings binding option (Lady Ada and Lady Magdalene gold deposits),Option for total $15.2M across three tranches over the Hyden Project including Lady Ada and Lady Magdalene deposits (described as 'cornerstone assets' in later investor materials). Formal acquisition pending — option extended Nov 2025. Ambiguity: completion status not confirmed in available source documents.,,,,medium – option only; completion unconfirmed,False,8,8,10,209.8
6,2025-08-14,2,Acquisition Blitz,North Ironcap Gold Project acquisition (North Iron Cap Pty Ltd),"Largest single resource addition in the programme: JORC Inferred 2.412Mt @ 1.37 g/t for 105,953 oz; Mining Lease M77/544 already approved. Consideration 42.1M shares + $2.78M cash (≈$70/oz). Total resources now ~214K oz.",,"$0.11; $2,781,266; $70",North Ironcap,high,False,3,3,13,222.4
7,2025-08-27,2,Acquisition Blitz,$8.61M Placement at $0.205/share (42M shares),Share price has re-rated 16× from February's $0.01. Placement at $0.205 raises $8.61M to fund active acquisition pipeline. Market is now pricing in the consolidation thesis.,,,,high,False,0,0,13,222.4
8,2025-09-12,2,Acquisition Blitz,Burracoppin Gold Project acquisition (Askari Metals / First Western Gold Pty Ltd),"Cheapest acquisition by oz: 82,700 oz JORC Inferred for only $700K total ($250K cash + $450K shares = $8.47/oz). Located 27km west of Ramelius Edna May Gold Mine — proximity strategic for future processing. Total resources now ~297K oz.",Askari Metals,"$700,000; $250,000; $450,000; $0.06",Burracoppin,high,False,5,5,18,337.0
9,2025-09-23,3,Kula Convergence,Westonia Gold Project (4 ELs) acquired from Kula Gold Ltd,"The Kula relationship pivots from a tenement deal to a full corporate takeover — FRS bids to absorb Kula Gold’s entire tenement portfolio, adding Mt Palmer, Johnson Range and strategic Westonia ground in a single stroke. $500K cash + $1M conditional: four exploration licences adjacent to Ramelius Resources' Edna May Gold Mine. Simultaneously establishes tenement relationship with KGD, which becomes the platform for the takeover bid.",Kula Gold Ltd,"$500,000; $1,000,000",Westonia,high,True,4,4,22,554.7
10,2025-09-23,3,Kula Convergence,$1.87M equity investment in Kula Gold Ltd (7.37% at 2.2c/share),"On same day as Westonia tenement purchase: FRS subscribes for 84.9M KGD shares at 2.2c, becoming KGD's largest external shareholder (7.37%). Sets up the takeover. Geraghty: 'We're creating strong bonds with gold companies in our area of influence.' Investment worth $6.65M by Dec 23.",,,,high,True,0,0,22,554.7
11,2025-10-13,3,Kula Convergence,Bid Implementation Deed signed with Kula Gold Ltd,"Formal legal commitment to an off-market takeover bid for all KGD shares. If successful, FRS absorbs Kula’s Mt Palmer (M77/406) — a historic high-grade underground gold mine — plus Johnson Range (M77/1263) and the Westonia exploration licences adjacent to Ramelius’ Edna May Gold Mine. These assets complete a hub-and-spoke network stretching from Coolgardie to Southern Cross, with multiple mining leases already approved and ready for scheduling into a centralised processing pathway.",,,,high,True,0,0,22,554.7
